study_hours,attendance_percent,previous_score,sleep_hours,assignments_completed,passed
1.2,58,42,5.1,3,0
2.4,67,51,6.2,5,0
3.1,72,56,6.5,6,0
4.5,81,64,7.0,7,1
5.2,87,71,7.4,8,1
6.1,91,78,7.8,9,1
7.3,94,84,8.1,10,1
2.1,63,47,5.8,4,0
3.8,76,61,6.7,7,1
4.2,73,58,5.9,6,1
1.7,55,39,5.2,2,0
5.8,89,75,7.6,9,1
6.7,96,88,8.3,10,1
2.8,69,53,6.1,5,0
4.9,84,68,7.2,8,1
3.3,71,55,6.4,6,0
7.8,97,91,8.5,10,1
2.6,61,45,5.5,3,0
5.5,82,70,7.1,8,1
4.0,79,62,6.8,7,1
1.4,52,36,4.9,2,0
6.3,88,77,7.7,9,1
7.1,93,82,8.0,10,1
3.6,68,54,6.0,5,0
4.7,85,66,7.3,8,1
2.9,74,57,6.6,6,0
5.9,90,79,7.9,9,1
3.2,65,49,5.7,4,0
6.8,92,85,8.2,10,1
4.4,77,63,6.9,7,1
2.0,59,41,5.3,3,0
5.1,83,69,7.0,8,1
3.7,70,52,6.2,5,0
6.5,95,87,8.4,10,1
4.8,80,67,7.1,7,1
1.8,57,43,5.0,2,0
5.6,86,73,7.5,9,1
7.5,98,93,8.6,10,1
2.7,64,48,5.9,4,0
4.1,75,60,6.5,6,1
3.5,78,59,6.7,7,1
6.0,89,76,7.8,9,1
1.5,54,38,4.7,2,0
5.3,81,65,7.0,8,1
2.3,66,50,5.6,4,0
6.9,94,86,8.1,10,1
3.9,73,55,6.3,6,0
4.6,82,64,7.2,7,1
2.5,60,44,5.4,3,0
7.0,91,81,8.0,9,1
1.9,62,46,5.7,3,0
5.7,88,72,7.6,8,1
3.4,69,53,6.1,5,0
4.3,76,61,6.8,7,1
6.2,90,80,7.9,9,1
2.2,56,40,5.0,2,0
5.0,84,68,7.3,8,1
7.6,96,89,8.4,10,1
3.0,71,57,6.5,5,0
4.9,79,66,7.0,7,1
1.6,53,37,4.8,2,0
6.4,93,83,8.2,9,1
3.8,72,58,6.4,6,1
5.4,85,71,7.5,8,1
2.7,68,49,5.8,4,0
6.7,95,90,8.3,10,1
4.2,80,62,6.9,7,1
2.0,65,43,5.5,3,0
5.9,87,76,7.7,9,1
3.6,74,56,6.0,5,0
7.2,92,84,8.1,10,1
4.5,78,65,6.7,7,1
1.3,51,34,4.6,1,0
6.0,86,74,7.4,9,1
2.8,63,47,5.3,3,0
5.2,89,69,7.8,8,1
3.1,70,52,6.2,5,0
4.7,83,67,7.0,7,1
6.6,97,92,8.5,10,1
2.4,58,41,5.1,3,0
5.5,80,73,7.2,8,1
3.9,75,60,6.6,6,1
7.4,94,86,8.0,10,1
1.7,60,45,5.4,2,0
4.8,85,64,7.1,8,1
2.9,67,50,5.9,4,0
6.3,90,78,7.8,9,1
3.3,73,55,6.3,5,0
5.1,82,70,7.4,8,1
