mileage,engine_size,age_years,horsepower,price
15000,2.0,2,180,28500
22000,2.2,3,200,27000
30000,1.8,4,160,23500
35000,2.5,3,240,31000
42000,2.0,5,190,22000
50000,2.4,5,210,24500
58000,1.6,6,140,18500
65000,2.0,7,175,19000
72000,2.5,6,230,22000
80000,1.8,8,155,16500
88000,2.2,7,205,18500
95000,1.6,9,135,14000
105000,2.0,10,170,13500
115000,2.5,9,225,16000
125000,1.8,11,150,11500
135000,2.0,12,165,10500
145000,2.4,11,215,12500
155000,1.6,13,140,8500
165000,2.0,14,160,8000
180000,2.2,15,180,7500

