age,annual_income,purchases_per_year,avg_purchase,website_visits,discount_usage,segment
22,28000,8,25,40,0.80,0
25,32000,12,30,55,0.70,0
29,38000,15,35,60,0.65,0
34,50000,25,55,80,0.45,1
38,58000,30,65,95,0.35,1
42,65000,35,75,110,0.30,1
30,45000,22,50,75,0.50,1
47,90000,45,120,150,0.15,2
52,110000,50,150,180,0.10,2
45,85000,40,110,140,0.20,2
55,125000,55,175,200,0.05,2
24,30000,10,28,45,0.75,0
31,42000,18,40,70,0.55,1
37,60000,28,70,100,0.30,1
49,95000,42,130,160,0.12,2
27,35000,14,32,50,0.65,0
40,70000,32,80,120,0.25,1
58,130000,60,190,220,0.03,2
33,48000,20,48,72,0.50,1
51,105000,48,140,175,0.08,2
